gender,SeniorCitizen,Partner,Dependents,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,PhoneServiceStatus,Internet_AddOnCount,IsNewCustomer,AvgMonthlySpend,BillingRatio,RelativeSpend,TenureGroup,ContractPaymentCombo,CostDeviation
Male,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,Multiple phone lines,4,No,102.78163265306122,0.9911439985830398,1.008935130949308,49m+,Month-to-month_Bank transfer (automatic),17.349064467766127
Male,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,No,Single phone line,5,No,107.44200000000001,1.0184075829383887,0.9819251316989631,25–48m,Month-to-month_Electronic check,19.149064467766124
Female,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,No,Multiple phone lines,6,No,114.42246376811593,1.010352880954666,0.9897532029157141,49m+,Two year_Credit card (automatic),12.330438184663535
Female,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,No,Single phone line,0,No,5.343653846153846,0.25877258334885456,3.8643970201892968,49m+,One year_Mailed check,-1.0457519379844982
Male,No,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,No,Multiple phone lines,4,No,103.97535211267606,0.9744644059294851,1.0262047478749703,49m+,Two year_Bank transfer (automatic),5.780438184663538
Female,No,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,Yes,Single phone line,2,No,52.835,0.9571557971014493,1.044761994889751,7–12m,Month-to-month_Credit card (automatic),-1.1982152117545368
Female,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,No,Single phone line,3,No,88.70952380952382,0.9851140900557892,1.0151108486767941,13–24m,Month-to-month_Electronic check,3.699064467766121
Male,Yes,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,No phone service,2,No,2.7922535211267605,0.07042253521126761,14.2,13–24m,Month-to-month_Electronic check,-16.74821521175454
Male,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,No,Single phone line,0,No,16.854166666666668,0.8512205387205386,1.1747836835599506,7–12m,One year_Bank transfer (automatic),-1.895751937984496
Male,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes,Single phone line,0,No,20.15,1.0,1.0,0–6m,Month-to-month_Mailed check,-1.078235294117647
Female,No,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,No,Multiple phone lines,2,No,59.96120689655172,1.001021817972483,0.9989792250736828,49m+,Two year_Credit card (automatic),-13.691618953603161
Male,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,No,Single phone line,3,No,60.61836734693878,1.017086700451993,0.9832003501329831,49m+,Month-to-month_Credit card (automatic),3.2017847882454618
Female,No,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,No,Single phone line,2,No,51.019999999999996,0.9226039783001808,1.083888671109369,25–48m,Month-to-month_Bank transfer (automatic),-1.0982152117545425
Male,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,Yes,Multiple phone lines,3,No,147.4891304347826,1.4845408196757182,0.6736089616036555,25–48m,Month-to-month_Electronic check,12.999064467766118
Male,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,No phone service,1,No,30.2,1.0,1.0,0–6m,Month-to-month_Electronic check,-26.19821521175454
Male,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,No,Multiple phone lines,6,No,88.46458333333334,0.9802169898430286,1.0201822763346913,49m+,Two year_Credit card (automatic),16.65838104639684
Female,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,Yes,Single phone line,2,No,64.3,0.9938176197836165,1.006220839813375,13–24m,Month-to-month_Mailed check,8.301784788245463
Female,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,No,Multiple phone lines,4,No,95.30915492957746,0.9891972488798907,1.0109207249942735,49m+,Two year_Credit card (automatic),-4.5695618153364705
Male,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,No,Single phone line,3,No,90.825,0.9510471204188482,1.0514726121662537,0–6m,Month-to-month_Credit card (automatic),9.149064467766124
Female,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,No,Single phone line,4,No,69.42407407407407,1.0494946949973405,0.9528394995865456,25–48m,One year_Mailed check,-1.1521218074656048
Male,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No,Single phone line,0,No,20.2,1.0,1.0,0–6m,Month-to-month_Bank transfer (automatic),-1.0282352941176462
Male,Yes,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No,Single phone line,0,No,45.25,1.0,1.0,0–6m,Month-to-month_Bank transfer (automatic),-11.14821521175454
Female,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,No,Multiple phone lines,4,No,100.71805555555555,1.0081887442998554,0.9918777665926611,49m+,Two year_Bank transfer (automatic),-1.0195618153364592
Male,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,Yes,Single phone line,0,No,251.57399999999998,3.609383070301291,0.2770556575798771,0–6m,Month-to-month_Electronic check,-16.650935532233873
Female,No,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,No,Single phone line,1,No,77.13695652173914,1.0312427342478494,0.96970380182059,25–48m,Month-to-month_Credit card (automatic),-11.55093553223388
Male,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,Yes,Multiple phone lines,4,No,104.38970588235294,0.9815675212256977,1.0187786152003944,25–48m,Month-to-month_Electronic check,19.999064467766118
Female,No,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,Yes,Multiple phone lines,3,No,100.4909090909091,1.0269893621963118,0.9737199203908086,7–12m,Month-to-month_Bank transfer (automatic),11.499064467766118
Male,No,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,No,Single phone line,1,No,47.57,0.9600403632694248,1.0416228715577043,7–12m,One year_Mailed check,-17.752121807465613
Female,No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,No,Multiple phone lines,3,No,54.69357142857143,0.790369529314616,1.265230962113594,49m+,Two year_Credit card (automatic),-4.391618953603157
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,No,Single phone line,0,No,24.602941176470587,1.1856839121190645,0.8433950986252242,13–24m,One year_Mailed check,-0.9457519379844967
Female,No,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,No,Multiple phone lines,5,No,77.16587301587302,0.9663853852958425,1.0347838607822768,49m+,Two year_Credit card (automatic),6.258381046396835
Female,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,No,Multiple phone lines,4,No,75.49615384615385,0.99076317383404,1.0093229405471498,13–24m,Month-to-month_Electronic check,19.801784788245463
Female,No,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,No,Multiple phone lines,1,No,25.67081632653061,0.303796642917522,3.2916756103571916,49m+,Month-to-month_Electronic check,-1.8509355322338763
Male,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,No,Single phone line,1,No,48.5,0.9847715736040609,1.0154639175257731,0–6m,Month-to-month_Mailed check,-7.14821521175454
Female,No,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,Yes,Single phone line,1,No,628.935,7.798326100433973,0.1282326472528958,0–6m,Month-to-month_Electronic check,-5.700935532233871
Male,No,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,No,Multiple phone lines,4,No,78.87230769230769,0.98899445382204,1.0111280160727174,49m+,Two year_Credit card (automatic),6.1583810463968405
Female,No,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,No,Multiple phone lines,3,No,61.6536231884058,0.961085318603364,1.0404903504854142,49m+,Two year_Credit card (automatic),-9.441618953603154
Female,Yes,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,No,Multiple phone lines,2,No,89.27325581395348,0.9891773497390969,1.0109410615434713,25–48m,Month-to-month_Electronic check,3.8990644677661237
Female,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,Yes,Single phone line,4,No,95.09333333333333,0.9595694584594686,1.0421340437464945,13–24m,Month-to-month_Credit card (automatic),12.749064467766118
Female,Yes,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,No,Multiple phone lines,3,No,70.10600000000001,1.0087194244604316,0.9913559467092687,25–48m,Month-to-month_Credit card (automatic),13.10178478824546
Female,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,Yes,Multiple phone lines,1,No,79.1625,0.9815561066336018,1.0187904626559294,7–12m,Month-to-month_Credit card (automatic),-5.700935532233871
Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,No,Single phone line,5,No,74.27250000000001,0.9922845691382767,1.0077754215894172,49m+,One year_Credit card (automatic),7.547878192534384
Male,Yes,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Yes,Multiple phone lines,2,No,97.36388888888888,1.0200512193702345,0.9803429288750679,13–24m,Month-to-month_Electronic check,9.099064467766127
Female,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,No,Multiple phone lines,3,No,100.17777777777778,1.005296314879857,0.994731588287489,49m+,One year_Credit card (automatic),2.58223094170404
Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,No,Multiple phone lines,5,No,107.21742424242424,0.9886346172653228,1.011496039624948,49m+,One year_Electronic check,11.382230941704037
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,No,Multiple phone lines,0,No,26.302941176470586,1.0542260992573382,0.9485631219948564,25–48m,Two year_Credit card (automatic),2.503920807453415
Female,No,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,No,Multiple phone lines,4,No,109.07916666666667,1.01468992248062,0.9855227472401543,49m+,Two year_Credit card (automatic),6.580438184663535
Female,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,No,Multiple phone lines,3,No,100.15106382978725,0.9965279983063408,1.0034840984895157,25–48m,Month-to-month_Electronic check,14.149064467766124
Male,No,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,No,Multiple phone lines,2,No,90.845,1.010511679644049,0.9895976663547802,49m+,Month-to-month_Bank transfer (automatic),3.5490644677661294
Male,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,No,No phone service,3,No,41.138888888888886,0.977170757455793,1.023362592842674,49m+,Two year_Bank transfer (automatic),-31.491618953603158
Female,No,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,No,Single phone line,2,No,53.172222222222224,0.9774305555555557,1.0230905861456483,13–24m,One year_Credit card (automatic),-12.902121807465612
Female,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,Yes,Multiple phone lines,2,No,95.25,1.0090042372881356,0.9910761154855644,7–12m,Month-to-month_Electronic check,8.04906446776613
Female,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,No,Single phone line,4,No,81.36666666666666,1.0805666223992918,0.9254403932814421,0–6m,Month-to-month_Electronic check,18.901784788245457
Male,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,No,Multiple phone lines,1,No,77.66702127659575,0.9843728932394897,1.0158751900502692,25–48m,One year_Electronic check,-18.16776905829596
Female,No,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,No,Single phone line,5,No,80.55483870967741,1.0171065493646136,0.9831811629024508,25–48m,Two year_Mailed check,5.608381046396843
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,No,Single phone line,0,No,18.618,0.9239702233250621,1.0822859598238264,49m+,Two year_Bank transfer (automatic),-2.2960791925465855
Male,No,No,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,No,Single phone line,2,No,88.735,1.1112711333750782,0.8998704006310925,7–12m,Month-to-month_Mailed check,-6.500935532233882
Male,No,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,No,Single phone line,1,No,5.005102040816326,0.1020408163265306,9.8,7–12m,Month-to-month_Mailed check,-7.3482152117545425
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,No,Single phone line,0,No,20.974038461538463,1.0281391402714934,0.9726309998624673,49m+,One year_Electronic check,-1.2957519379844982
Male,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,No,Multiple phone lines,5,No,110.921875,0.9939236111111112,1.006113537117904,49m+,Two year_Bank transfer (automatic),10.68043818466353
Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,No,Multiple phone lines,0,No,22.695,0.9358762886597938,1.0685172945582728,49m+,Two year_Bank transfer (automatic),1.8039208074534159
Female,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,No,Single phone line,3,No,59.13333333333333,0.9167958656330749,1.0907553551296505,0–6m,Month-to-month_Bank transfer (automatic),8.10178478824546
Female,Yes,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,No,Multiple phone lines,5,No,109.63392857142857,0.9921622495151907,1.0078996660965878,49m+,One year_Electronic check,13.432230941704034
Female,No,No,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,No,Single phone line,1,No,58.45326086956521,1.0503730614477127,0.9520426948323634,25–48m,One year_Credit card (automatic),-11.652121807465612
Female,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,No,Single phone line,2,No,60.28125,1.10304208600183,0.9065837221358216,7–12m,Month-to-month_Mailed check,-1.748215211754541
Male,Yes,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,No,Single phone line,4,No,70.37666666666668,0.9414938684503903,1.0621418083645147,25–48m,Month-to-month_Electronic check,18.35178478824546
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,No,Multiple phone lines,0,No,27.035555555555554,1.0438438438438438,0.9579976985040276,25–48m,One year_Credit card (automatic),4.204248062015502
Female,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,Yes,Single phone line,1,No,79.35,1.0,1.0,0–6m,Month-to-month_Electronic check,-7.000935532233882
Female,No,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,No,No phone service,3,No,51.39545454545455,1.0167251146479634,0.9835500132661182,7–12m,Month-to-month_Electronic check,-5.8482152117545425
Female,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),82.38,Yes,Single phone line,1,No,70.98571428571428,0.861686262268928,1.1605151942040652,7–12m,Month-to-month_Bank transfer (automatic),-3.970935532233881
Female,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,No,Single phone line,5,No,103.03571428571429,0.9926369391687312,1.0074176776429808,25–48m,Month-to-month_Bank transfer (automatic),17.44906446776612
Female,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,No,Single phone line,0,No,19.864285714285714,0.9858206309819214,1.014383315354189,49m+,Two year_Bank transfer (automatic),-2.2960791925465855
Male,No,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,No,Multiple phone lines,3,No,102.08333333333333,1.0280295401141324,0.9727346938775511,7–12m,Month-to-month_Credit card (automatic),12.94906446776612
Female,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,No,Single phone line,2,No,63.29857142857142,1.0184806344098378,0.9818547022049697,25–48m,One year_Bank transfer (automatic),-5.152121807465612
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,No,Single phone line,0,No,22.020833333333332,1.0663841807909604,0.937748344370861,25–48m,Two year_Bank transfer (automatic),-1.7960791925465855
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,No,Single phone line,0,No,20.15434782608696,1.0102429988013513,0.9898608564340415,25–48m,Two year_Mailed check,-2.496079192546585
Male,No,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,No,No phone service,1,No,34.80172413793103,1.031162196679438,0.9697795392618281,25–48m,Month-to-month_Mailed check,-22.64821521175454
Male,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,No,Single phone line,2,No,85.67333333333333,1.0441600650010157,0.9577075713952221,25–48m,Month-to-month_Bank transfer (automatic),-4.300935532233879
Male,Yes,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,No,Single phone line,1,No,74.7,1.0,1.0,0–6m,Month-to-month_Electronic check,-11.650935532233873
Male,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,No,Multiple phone lines,5,No,86.57954545454545,1.0307088744588744,0.9702060637878986,49m+,Two year_Mailed check,10.40838104639684
Female,No,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,No,Multiple phone lines,5,No,109.33846153846154,0.9845876770685416,1.015653580976502,49m+,Month-to-month_Credit card (automatic),24.69906446776612
Male,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,No,Multiple phone lines,4,No,103.59791666666666,1.0267385199867856,0.9739578096406379,49m+,Two year_Bank transfer (automatic),-0.019561815336459176
Female,No,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,Yes,Multiple phone lines,1,No,116.125,1.4708676377454084,0.6798708288482239,7–12m,Month-to-month_Electronic check,-7.4009355322338735
Male,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,No,Multiple phone lines,3,No,66.8830985915493,1.0004951173006627,0.9995051277191651,49m+,One year_Credit card (automatic),-0.45212180746561614
Male,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,Yes,Single phone line,0,No,22.77,1.081710213776722,0.9244620114185332,0–6m,Month-to-month_Mailed check,-0.17823529411764483
Male,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,No,Single phone line,0,No,21.292307692307695,1.0139194139194139,0.9862716763005779,49m+,Two year_Bank transfer (automatic),-1.4460791925465841
Female,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,Yes,Single phone line,4,No,100.58,1.0211167512690356,0.979319944322927,25–48m,Month-to-month_Electronic check,12.149064467766124
Male,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No,Single phone line,0,No,20.2,1.0,1.0,0–6m,Month-to-month_Mailed check,-1.0282352941176462
Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,No,Single phone line,0,No,19.45,1.0,1.0,0–6m,Month-to-month_Electronic check,-1.7782352941176462
Male,No,No,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,No,Multiple phone lines,3,No,94.88421052631578,0.998781163434903,1.001220323940537,25–48m,One year_Bank transfer (automatic),-2.0677690582959656
Female,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,No,No phone service,3,No,45.86742424242424,1.0069686990652964,0.9930795276240812,49m+,One year_Bank transfer (automatic),-21.752121807465613
Male,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,Yes,Multiple phone lines,5,No,111.93897058823529,1.0176270053475935,0.9826783239291368,49m+,Two year_Bank transfer (automatic),9.080438184663535
Male,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,No,No phone service,0,No,20.04,0.8246913580246914,1.2125748502994014,0–6m,Month-to-month_Mailed check,-32.098215211754535
Female,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,No,Multiple phone lines,4,No,101.43125,0.9738958233317331,1.0268038696161192,49m+,One year_Electronic check,7.08223094170404
Female,No,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,No,No phone service,1,No,28.9890625,0.9614946102819237,1.0400474316822077,25–48m,One year_Mailed check,-37.15212180746561
Male,No,No,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,No,Multiple phone lines,2,No,91.19302325581396,0.9665397271416425,1.0346186213755642,25–48m,One year_Mailed check,-2.7177690582959713
Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,No,Single phone line,0,No,18.93402777777778,0.9759808132875144,1.0246103062534384,49m+,Two year_Credit card (automatic),-3.0460791925465855
Male,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,Yes,Multiple phone lines,3,No,95.25272727272727,0.9845243128964059,1.0157189486342553,49m+,Month-to-month_Electronic check,10.399064467766124
Female,No,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,No,Single phone line,3,No,58.50480769230769,1.0095739032322293,0.9905168871723231,49m+,One year_Credit card (automatic),-9.352121807465608
Female,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,No,Single phone line,3,No,91.95581395348837,1.00333675890331,0.9966743380288815,25–48m,Month-to-month_Electronic check,5.299064467766129
